Date Range,SST (degree C)
2005-01-01,28.64901424590337
2005-02-01,28.824546113433083
2005-03-01,29.194306561430206
2005-04-01,29.322934360706846
2005-05-01,28.429753987583
2005-06-01,27.929758912915247
2005-07-01,27.97376384465222
2005-08-01,27.364205014961435
2005-09-01,26.859157684219515
2005-10-01,27.296742609291353
2005-11-01,27.36097469215626
2005-12-01,27.860281073928924
2006-01-01,28.59258868146981
2006-02-01,28.312041330387096
2006-03-01,28.50252465024609
2006-04-01,28.717339145012144
2006-05-01,28.216150663899672
2006-06-01,28.11427419977858
2006-07-01,27.247592777343637
2006-08-01,26.730283485814976
2006-09-01,27.459694630676466
2006-10-01,27.0862417060696
2006-11-01,27.540258461406378
2006-12-01,27.59257554413596
2007-01-01,28.376685182642444
2007-02-01,28.939302180697396
2007-03-01,28.69470192677331
2007-04-01,29.018734809288137
2007-05-01,28.35980839302436
2007-06-01,27.952491875062016
2007-07-01,27.35948801633118
2007-08-01,27.729658051568244
2007-09-01,27.035950832578617
2007-10-01,26.85666131752879
2007-11-01,27.786763473630955
2007-12-01,27.67374690500869
2008-01-01,28.622659078501425
2008-02-01,28.338124366620505
2008-03-01,28.66154418533047
2008-04-01,28.985083774545174
2008-05-01,28.781539973998623
2008-06-01,28.11141048435699
2008-07-01,27.525305515283527
2008-08-01,27.103643487538776
2008-09-01,26.61644340288977
2008-10-01,26.97802133369715
2008-11-01,27.421808368712064
2008-12-01,28.377136667865674
2009-01-01,28.683085486870535
2009-02-01,28.417113357175616
2009-03-01,29.177225190818437
2009-04-01,28.83050071965954
2009-05-01,28.37692339990821
2009-06-01,28.263502886652258
2009-07-01,27.889299856748785
2009-08-01,27.49335863195042
2009-09-01,26.828234743033207
2009-10-01,27.121210883460197
2009-11-01,27.679379029421067
2009-12-01,28.372663538136706
2010-01-01,28.456247728646414
2010-02-01,28.910327710785293
2010-03-01,28.768099507798194
2010-04-01,28.607163416560237
2010-05-01,28.84375774671826
2010-06-01,28.50687200857125
2010-07-01,27.5783969635259
2010-08-01,27.53503446558317
2010-09-01,27.20849080751429
2010-10-01,27.040438669834028
2010-11-01,27.708418681652525
2010-12-01,28.561410969939793
2011-01-01,28.609252188267014
2011-02-01,29.45541850052864
2011-03-01,28.334076468773077
2011-04-01,29.232596155097006
2011-05-01,28.646114120471452
2011-06-01,28.030297794860243
2011-07-01,27.647528232960653
2011-08-01,26.657703921835296
2011-09-01,27.054098433648747
2011-10-01,27.361108367669086
2011-11-01,28.063368213422457
2011-12-01,27.96451893451791
2012-01-01,28.397451919132045
2012-02-01,28.855498290709075
2012-03-01,29.414620635310623
